accession,c1,c2,filter_len,min_len,refine,n_pred,precision,recall,f1,accuracy,mcc,TP,FP,TN,FN,mabe,median_jaccard
AC_000091.1,0.1,0.05,200,10000,True,17,30.302355612949196,61.03960174014441,40.49932302748062,85.41836823989264,0.35902854501427856,13610,31304,220655,8687,15695.0,0.30244444444444446
AC_000091.1,0.1,0.05,400,8000,False,12,41.5981045129755,100.0,58.75517141426651,88.58584680007002,0.6035714925681512,22297,31304,220655,0,16625.0,0.25082001606999377
AC_000091.1,0.1,0.05,400,8000,True,12,41.5981045129755,100.0,58.75517141426651,88.58584680007002,0.6035714925681512,22297,31304,220655,0,25315.5,0.18871638655462186
AC_000091.1,0.1,0.05,400,10000,False,11,41.5981045129755,100.0,58.75517141426651,88.58584680007002,0.6035714925681512,22297,31304,220655,0,16625.0,0.25082001606999377
AC_000091.1,0.1,0.05,400,10000,True,11,41.5981045129755,100.0,58.75517141426651,88.58584680007002,0.6035714925681512,22297,31304,220655,0,25315.5,0.18871638655462186
AC_000091.1,0.1,0.05,600,8000,False,7,42.176768865401485,88.41099699511145,57.10933426038589,89.20351788110379,0.5646466117746307,19713,27026,224933,2584,12915.5,0.29091716577100535
AC_000091.1,0.1,0.05,600,8000,True,7,56.206201159566426,100.0,71.9641099294786,93.66540750247944,0.7233995323953785,22297,17373,234586,0,25315.5,0.2174654213036566
AC_000091.1,0.1,0.05,600,10000,False,7,42.176768865401485,88.41099699511145,57.10933426038589,89.20351788110379,0.5646466117746307,19713,27026,224933,2584,12915.5,0.29091716577100535
AC_000091.1,0.1,0.05,600,10000,True,7,56.206201159566426,100.0,71.9641099294786,93.66540750247944,0.7233995323953785,22297,17373,234586,0,25315.5,0.2174654213036566
AC_000091.1,0.1,0.1,200,8000,False,32,35.16058382491647,98.64107279006144,51.84207424867413,85.10078175135641,0.5376306862916943,21994,40559,211400,303,8475.0,0.36810691248543304
AC_000091.1,0.1,0.1,200,8000,True,27,21.478952567457497,55.58595326725568,30.985000000000003,79.86844408144216,0.25213458332106753,12394,45309,206650,9903,15911.0,0.2803057716663651
AC_000091.1,0.1,0.1,200,10000,False,32,35.16058382491647,98.64107279006144,51.84207424867413,85.10078175135641,0.5376306862916943,21994,40559,211400,303,8475.0,0.36810691248543304
AC_000091.1,0.1,0.1,200,10000,True,22,21.478952567457497,55.58595326725568,30.985000000000003,79.86844408144216,0.25213458332106753,12394,45309,206650,9903,15911.0,0.2803057716663651
AC_000091.1,0.1,0.1,400,8000,False,14,41.5981045129755,100.0,58.75517141426651,88.58584680007002,0.6035714925681512,22297,31304,220655,0,18806.5,0.22829826104030254
AC_000091.1,0.1,0.1,400,8000,True,13,41.5981045129755,100.0,58.75517141426651,88.58584680007002,0.6035714925681512,22297,31304,220655,0,27195.0,0.15798686274509804
AC_000091.1,0.1,0.1,400,10000,False,14,41.5981045129755,100.0,58.75517141426651,88.58584680007002,0.6035714925681512,22297,31304,220655,0,18806.5,0.22829826104030254
AC_000091.1,0.1,0.1,400,10000,True,13,41.5981045129755,100.0,58.75517141426651,88.58584680007002,0.6035714925681512,22297,31304,220655,0,27195.0,0.15798686274509804
AC_000091.1,0.1,0.1,600,8000,False,11,38.12626107178277,100.0,55.20494187845851,86.80612274663089,0.571408540160201,22297,36185,215774,0,18495.0,0.20454261762080836
AC_000091.1,0.1,0.1,600,8000,True,11,34.051098792016006,100.0,50.80316252363918,84.25412753048246,0.5311777481953958,22297,43184,208775,0,27195.0,0.15798686274509804
AC_000091.1,0.1,0.1,600,10000,False,10,38.12626107178277,100.0,55.20494187845851,86.80612274663089,0.571408540160201,22297,36185,215774,0,18495.0,0.20454261762080836
AC_000091.1,0.1,0.1,600,10000,True,10,34.051098792016006,100.0,50.80316252363918,84.25412753048246,0.5311777481953958,22297,43184,208775,0,27195.0,0.15798686274509804
AC_000091.1,0.15,0.05,200,8000,False,32,35.473144966272116,100.0,52.36926473524127,85.21126247010092,0.5455535678352919,22297,40559,211400,0,17186.0,0.26430211507391443
AC_000091.1,0.15,0.05,200,8000,True,28,31.75327609579756,94.54635152711127,47.54022573770677,83.0359226416195,0.4885036343105122,21081,45309,206650,1216,20156.5,0.22879574297603972
AC_000091.1,0.15,0.05,200,10000,False,31,35.473144966272116,100.0,52.36926473524127,85.21126247010092,0.5455535678352919,22297,40559,211400,0,17186.0,0.26430211507391443
AC_000091.1,0.15,0.05,200,10000,True,22,31.75327609579756,94.54635152711127,47.54022573770677,83.0359226416195,0.4885036343105122,21081,45309,206650,1216,20156.5,0.22879574297603972
AC_000091.1,0.15,0.05,400,8000,False,13,41.5981045129755,100.0,58.75517141426651,88.58584680007002,0.6035714925681512,22297,31304,220655,0,21436.0,0.1951495738291342
AC_000091.1,0.15,0.05,400,8000,True,13,41.5981045129755,100.0,58.75517141426651,88.58584680007002,0.6035714925681512,22297,31304,220655,0,33536.0,0.14439495798319327
AC_000091.1,0.15,0.05,400,10000,False,13,41.5981045129755,100.0,58.75517141426651,88.58584680007002,0.6035714925681512,22297,31304,220655,0,21436.0,0.1951495738291342
AC_000091.1,0.15,0.05,400,10000,True,13,41.5981045129755,100.0,58.75517141426651,88.58584680007002,0.6035714925681512,22297,31304,220655,0,33536.0,0.14439495798319327
AC_000091.1,0.15,0.05,600,8000,False,9,43.02529764776258,100.0,60.16459794927146,89.23414619917158,0.6163063087670316,22297,29526,222433,0,18495.0,0.1995086210977255
AC_000091.1,0.15,0.05,600,8000,True,9,41.5981045129755,100.0,58.75517141426651,88.58584680007002,0.6035714925681512,22297,31304,220655,0,27195.0,0.15798686274509804
AC_000091.1,0.15,0.05,600,10000,False,9,43.02529764776258,100.0,60.16459794927146,89.23414619917158,0.6163063087670316,22297,29526,222433,0,18495.0,0.1995086210977255
AC_000091.1,0.15,0.05,600,10000,True,9,41.5981045129755,100.0,58.75517141426651,88.58584680007002,0.6035714925681512,22297,31304,220655,0,27195.0,0.15798686274509804
AC_000091.1,0.15,0.1,200,8000,False,40,27.20108330995108,100.0,42.76863467219089,78.24149699550784,0.4556179918810213,22297,59674,192285,0,17686.0,0.25583496025658903
AC_000091.1,0.15,0.1,200,8000,True,34,23.559454626732233,94.54635152711127,37.719745564829985,74.61678140131848,0.39287907327261395,21081,68399,183560,1216,22036.0,0.1858739384647615
AC_000091.1,0.15,0.1,200,10000,False,39,28.824624453809754,100.0,44.75017812164454,79.92496062073391,0.4746155407291623,22297,55057,196902,0,17686.0,0.25583496025658903
AC_000091.1,0.15,0.1,200,10000,True,27,24.84121466363433,94.54635152711127,39.34490481522956,76.30024502654454,0.4093109380287922,21081,63782,188177,1216,22036.0,0.1858739384647615
AC_000091.1,0.15,0.1,400,8000,False,18,41.5981045129755,100.0,58.75517141426651,88.58584680007002,0.6035714925681512,22297,31304,220655,0,22336.0,0.18546306209191343
AC_000091.1,0.15,0.1,400,8000,True,16,41.5981045129755,100.0,58.75517141426651,88.58584680007002,0.6035714925681512,22297,31304,220655,0,33536.0,0.14439495798319327
AC_000091.1,0.15,0.1,400,10000,False,17,41.5981045129755,100.0,58.75517141426651,88.58584680007002,0.6035714925681512,22297,31304,220655,0,22336.0,0.18546306209191343
AC_000091.1,0.15,0.1,400,10000,True,15,41.5981045129755,100.0,58.75517141426651,88.58584680007002,0.6035714925681512,22297,31304,220655,0,33536.0,0.14439495798319327
AC_000091.1,0.15,0.1,600,8000,False,14,35.68547741749624,100.0,52.600290166196814,85.34763141006943,0.5476677118028789,22297,40185,211774,0,22336.0,0.18546306209191343
AC_000091.1,0.15,0.1,600,8000,True,14,34.051098792016006,100.0,50.80316252363918,84.25412753048246,0.5311777481953958,22297,43184,208775,0,33536.0,0.14439495798319327
AC_000091.1,0.15,0.1,600,10000,False,13,35.68547741749624,100.0,52.600290166196814,85.34763141006943,0.5476677118028789,22297,40185,211774,0,22336.0,0.18546306209191343
AC_000091.1,0.15,0.1,600,10000,True,13,34.051098792016006,100.0,50.80316252363918,84.25412753048246,0.5311777481953958,22297,43184,208775,0,33536.0,0.14439495798319327
AC_000091.1,0.15,0.2,200,8000,False,49,19.091695279521186,100.0,32.062177357893674,65.5460591564086,0.34542366339975783,22297,94492,157467,0,21656.5,0.22619131994839542
